Experiment,Year,Field#,PlotID,Rotation,Rep,N-Old,Nitro,Pedigree,HYB,Source,Plot#,Range,Row,Root#,PlotiD
2023_Rotational Plots,2023,402,40201,3Year,4,N3,N3,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3155,4,3,1,40201
2023_Rotational Plots,2023,402,40202,3Year,4,N3,N3,Z031E0047xMo17,NREC09,2021MOB:1612-17,3154,4,7,1,40202
2023_Rotational Plots,2023,402,40203,3Year,4,N3,N3,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3153,4,11,1,40203
2023_Rotational Plots,2023,402,40204,3Year,4,N3,N3,B73XMo17,NREC01,2021MOB:1548-53,3152,4,15,1,40204
2023_Rotational Plots,2023,402,40205,3Year,4,N3,N3,B73xPHZ51,NREC03,2021MOB:1564-69,3151,4,19,1,40205
2023_Rotational Plots,2023,402,40206,3Year,4,N3,N3,BR64K93,CHECK4,Blue River Hybrid,3156,5,3,1,40206
2023_Rotational Plots,2023,402,40207,3Year,4,N3,N3,PH5141,CHECK7,Prairie Hyb,3157,5,7,1,40207
2023_Rotational Plots,2023,402,40208,3Year,4,N3,N3,Z031E0047xPH207,NREC12,2021MOB:1636-41,3158,5,11,1,40208
2023_Rotational Plots,2023,402,40209,3Year,4,N3,N3,B73xPH207,NREC04,2021MOB:1572-77,3159,5,15,1,40209
2023_Rotational Plots,2023,402,40210,3Year,4,N3,N3,PH6878,CHECK5,Prairie Hyb,3160,5,19,1,40210
2023_Rotational Plots,2023,402,40211,3Year,4,N3,N3,Z031E0021xPHZ51,NREC07,2021MOB:1596,3165,6,3,1,40211
2023_Rotational Plots,2023,402,40212,3Year,4,N3,N3,B73xPHG47,NREC02,2021MOB:1556-61,3164,6,7,1,40212
2023_Rotational Plots,2023,402,40213,3Year,4,N3,N3,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3163,6,11,1,40213
2023_Rotational Plots,2023,402,40214,3Year,4,N3,N3,Z031E0021xPH207,NREC08,2021MOB:1604-09,3162,6,15,1,40214
2023_Rotational Plots,2023,402,40215,3Year,4,N3,N3,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3161,6,19,1,40215
2023_Rotational Plots,2023,107,10701,4Year,1,N3,N3,PH6878,CHECK5,Prairie Hyb,3181,1,3,1,10701
2023_Rotational Plots,2023,107,10702,4Year,1,N3,N3,PH5141,CHECK7,Prairie Hyb,3182,1,7,1,10702
2023_Rotational Plots,2023,107,10703,4Year,1,N3,N3,B73xPH207,NREC04,2021MOB:1572-77,3183,1,11,1,10703
2023_Rotational Plots,2023,107,10704,4Year,1,N3,N3,B73xPHG47,NREC02,2021MOB:1556-61,3184,1,15,1,10704
2023_Rotational Plots,2023,107,10705,4Year,1,N3,N3,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3185,1,19,1,10705
2023_Rotational Plots,2023,107,10706,4Year,1,N3,N3,Z031E0047xPH207,NREC12,2021MOB:1636-41,3190,2,3,1,10706
2023_Rotational Plots,2023,107,10707,4Year,1,N3,N3,Z031E0021xPH207,NREC08,2021MOB:1604-09,3189,2,7,1,10707
2023_Rotational Plots,2023,107,10708,4Year,1,N3,N3,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3188,2,11,1,10708
2023_Rotational Plots,2023,107,10709,4Year,1,N3,N3,Z031E0021xPHZ51,NREC07,2021MOB:1596,3187,2,15,1,10709
2023_Rotational Plots,2023,107,10710,4Year,1,N3,N3,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3186,2,19,1,10710
2023_Rotational Plots,2023,107,10711,4Year,1,N3,N3,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3191,3,3,1,10711
2023_Rotational Plots,2023,107,10712,4Year,1,N3,N3,B73xPHZ51,NREC03,2021MOB:1564-69,3192,3,7,1,10712
2023_Rotational Plots,2023,107,10713,4Year,1,N3,N3,Z031E0047xMo17,NREC09,2021MOB:1612-17,3193,3,11,1,10713
2023_Rotational Plots,2023,107,10714,4Year,1,N3,N3,B73XMo17,NREC01,2021MOB:1548-53,3194,3,15,1,10714
2023_Rotational Plots,2023,107,10715,4Year,1,N3,N3,BR64K93,CHECK4,Blue River Hybrid,3195,3,19,1,10715
2023_Rotational Plots,2023,108,10801,4Year,1,N1,N1,Z031E0047xPHG47,NREC10,2021MOB:1620-25,3200,4,3,1,10801
2023_Rotational Plots,2023,108,10802,4Year,1,N1,N1,B73xPHG47,NREC02,2021MOB:1556-61,3199,4,7,1,10802
2023_Rotational Plots,2023,108,10803,4Year,1,N1,N1,PHHB9*PHZ51,UIUC4,2021WN_Tuniche_Chile,3198,4,11,1,10803
2023_Rotational Plots,2023,108,10804,4Year,1,N1,N1,Z031E0021xPHG47,NREC06,2021MOB:1588-93,3197,4,15,1,10804
2023_Rotational Plots,2023,108,10805,4Year,1,N1,N1,BR64K93,CHECK4,Blue River Hybrid,3196,4,19,1,10805
2023_Rotational Plots,2023,108,10806,4Year,1,N1,N1,B73xPHZ51,NREC03,2021MOB:1564-69,3201,5,3,1,10806
2023_Rotational Plots,2023,108,10807,4Year,1,N1,N1,B73XMo17,NREC01,2021MOB:1548-53,3202,5,7,1,10807
2023_Rotational Plots,2023,108,10808,4Year,1,N1,N1,B73xPH207,NREC04,2021MOB:1572-77,3203,5,11,1,10808
2023_Rotational Plots,2023,108,10809,4Year,1,N1,N1,Z031E0047xPHZ51,NREC11,2021MOB:1628-33,3204,5,15,1,10809
2023_Rotational Plots,2023,108,10810,4Year,1,N1,N1,PH5141,CHECK7,Prairie Hyb,3205,5,19,1,10810
2023_Rotational Plots,2023,108,10811,4Year,1,N1,N1,Z031E0047xPH207,NREC12,2021MOB:1636-41,3210,6,3,1,10811
2023_Rotational Plots,2023,108,10812,4Year,1,N1,N1,PH6878,CHECK5,Prairie Hyb,3209,6,7,1,10812
2023_Rotational Plots,2023,108,10813,4Year,1,N1,N1,Z031E0047xMo17,NREC09,2021MOB:1612-17,3208,6,11,1,10813
2023_Rotational Plots,2023,108,10814,4Year,1,N1,N1,Z031E0021xPHZ51,NREC07,2021MOB:1596,3207,6,15,1,10814
2023_Rotational Plots,2023,108,10815,4Year,1,N1,N1,Z031E0021xPH207,NREC08,2021MOB:1604-09,3206,6,19,1,10815
2023_Rotational Plots,2023,109,10901,4Year,1,N2,N2,PH6878,CHECK5,Prairie Hyb,3211,7,3,1,10901
